color1,color2,color1a,color2a,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,
green,violet,green.png,violet.png,0,0,0,57,2.0250000000000004,5.426227821008069,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
blue,spring_green,blue.png,spring_green.png,0,1,1,101,3.416666666666667,4.098641967997537,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
red,red,red.png,red.png,0,2,2,0,1.0,2.516034442000091,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
blue,magenta,blue.png,magenta.png,0,3,3,106,4.116666666666667,5.28467493300559,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
azure,green,azure.png,green.png,0,4,4,88,3.0999999999999996,2.981670694993227,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
violet,red,violet.png,red.png,0,5,5,108,4.991666666666666,2.313359302992467,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
chartrueuse_green,violet,chartrueuse_green.png,violet.png,0,6,6,45,5.875,2.2824307780101663,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
rose,yellow,rose.png,yellow.png,0,7,7,134,4.016666666666667,1.7468547640019096,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
spring_green,red,spring_green.png,red.png,0,8,8,60,6.883333333333333,1.814445223993971,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
rose,spring_green,rose.png,spring_green.png,0,9,9,137,5.066666666666666,2.144223570008762,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
chartrueuse_green,spring_green,chartrueuse_green.png,spring_green.png,0,10,10,41,2.1,1.6309833339910256,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
spring_green,yellow,spring_green.png,yellow.png,0,11,11,62,2.9,2.7296375959995203,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
magenta,yellow,magenta.png,yellow.png,0,12,12,122,6.008333333333333,3.4310975589905865,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
orange,azure,orange.png,azure.png,0,13,13,19,6.008333333333333,2.696914732994628,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
magenta,green,magenta.png,green.png,0,14,14,124,5.158333333333333,2.7982592139887856,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
chartrueuse_green,yellow,chartrueuse_green.png,yellow.png,0,15,15,38,2.1750000000000003,1.4118537819886114,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
yellow,chartrueuse_green,yellow.png,chartrueuse_green.png,0,16,16,27,2.1750000000000003,0.7465476510114968,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
rose,green,rose.png,green.png,0,17,17,136,5.908333333333333,2.5303879239945672,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
cyan,magenta,cyan.png,magenta.png,0,18,18,82,3.9833333333333334,1.9958391879918054,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
spring_green,cyan,spring_green.png,cyan.png,0,19,19,66,3.2583333333333333,1.4144078889949014,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
violet,yellow,violet.png,yellow.png,0,20,20,110,5.741666666666666,1.2285634480067529,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
chartrueuse_green,red,chartrueuse_green.png,red.png,0,21,21,36,6.833333333333333,1.3306255439965753,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
yellow,cyan,yellow.png,cyan.png,0,22,22,30,3.083333333333333,1.61753166600829,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
spring_green,spring_green,spring_green.png,spring_green.png,0,23,23,65,1.0500000000000003,1.6830670130002545,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
azure,azure,azure.png,azure.png,0,24,24,91,1.0500000000000003,0.8161077050026506,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
violet,blue,violet.png,blue.png,0,25,25,116,1.8166666666666669,1.4160221960046329,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
violet,violet,violet.png,violet.png,0,26,26,117,1.0250000000000004,1.1663389499881305,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
violet,green,violet.png,green.png,0,27,27,112,1.0750000000000002,2.1149777730024653,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
red,cyan,red.png,cyan.png,0,28,28,6,5.925,1.5494319440040272,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
violet,cyan,violet.png,cyan.png,0,29,29,114,3.15,3.233209906000411,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
azure,violet,azure.png,violet.png,0,30,30,93,2.7666666666666666,1.8831212049990427,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
blue,chartrueuse_green,blue.png,chartrueuse_green.png,0,31,31,99,5.9833333333333325,1.3644269429933047,x,001,2019_Mar_17_1052,color_mds,3.0.4,60.17973278887911,
