.thisTrialN,.stepSize,.intensity,.response,key_resp_2.rt,Face,participant,date,expName,psychopyVersion,frameRate,
,,,,,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
0,4,0.5,1,0.870443816000261,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
1,4,0.4930457594275589,1,0.9021659800000634,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
2,4,0.44098222611003013,1,0.952264520999961,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
3,4,0.39044915592878804,1,0.8689672919990699,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
4,4,0.3438500374877672,1,0.9364057039983891,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
5,4,0.30212246918494096,1,1.103073194000899,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
6,4,0.2644606847687203,1,0.9350992889994814,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
7,4,0.23025357976650568,1,0.8853555610003241,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
8,4,0.19829116269705882,1,1.1232928879999236,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
9,4,0.16809608304190554,1,0.9368811519998417,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
10,4,0.13936163110536975,1,1.254577813000651,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
11,4,0.11193823998741548,1,1.2056637709993083,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
12,4,0.08567749210268066,0,1.071475400000054,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
13,4,0.1339594224431941,0,1.5385329050004657,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
14,4,0.17527732982232863,0,1.470955808999861,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
15,4,0.21861143215467754,0,0.9512927630003105,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
16,4,0.26292936328167194,1,0.9714549309992435,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
17,4,0.23868534944307335,1,0.9884522310003376,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
18,4,0.21724273216355894,1,1.0722444849998283,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
19,4,0.19820122013193775,1,0.9708339770004386,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
20,4,0.181297015099241,1,1.121735467999315,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
21,4,0.16629266145794042,1,1.0710380880009325,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
22,4,0.15239270134286992,1,1.0378048419988772,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
23,4,0.13994411540790735,1,1.0531667730010668,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
24,4,0.12848437222135645,0,1.3211736730008852,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
25,4,0.14807482187384408,1,1.1542930699997669,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
26,4,0.13664145462749694,1,1.1873665579987573,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
27,4,0.12605840927295925,1,0.9398126759988372,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
28,4,0.11625425584739085,1,1.0655897659999027,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
29,4,0.10715152393209615,0,0.9841765749988554,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
30,4,0.12254365979612958,0,1.1377273409998452,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
31,4,0.13834470708990732,0,1.2215661629998067,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
32,4,0.15601122987916588,0,1.0725339410000743,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
33,4,0.17562429728750062,1,1.2719422800000757,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
34,4,0.16406108582949153,0,0.9716870470001595,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
35,4,0.18241143057959847,0,1.5053535890001513,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
36,4,0.2029948954947809,1,1.3208572280000226,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
37,4,0.19049119565993083,1,0.9709881449998647,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
38,4,0.17919612556745773,0,1.2048199880009633,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
39,4,0.19821087029218076,1,1.0208959209994646,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
40,4,0.18677021146724937,1,1.4051664730013727,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
41,4,0.17637480365951835,0,1.0212559499996132,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
42,4,0.1939610527428468,1,1.0052097179996053,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
43,4,0.18375079663135346,1,1.1548310720008885,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
44,4,0.17446200751507251,1,1.353845661999003,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
45,4,0.16597085055383787,0,1.4542531930001132,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
46,4,0.18079760048571553,1,1.287794309999299,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
47,4,0.17211305994875026,1,2.3376583009994647,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
48,4,0.1641771789067218,0,1.487817769000685,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
49,4,0.17711834260803122,1,1.02193977800016,Real,x,2019_Mar_17_1735,Face-Threshold,3.0.4,59.701118292044846,
